titulo,subtitulo,descricao,temas,data,ano_mes,ano,mes,hora,turno,n_temas,tamanho_texto,n_palavras_titulo,n_relacionadas,url
Etapa microrregional do Jemg reúne mais de 50 mil jovens talentos do esporte mineiro,"Estudantes-atletas se preparam para etapa regional, que começa na próxima segunda-feira","Os Jogos Escolares de Minas Gerais (Jemg) se destacam como importante competição esportivo-escolar em nível nacional. A etapa microrregional,...","['Social', 'Esportes']",2024-06-07 17:05:00-03:00,2024-06,2024,6,17,Tarde,2,366,14,4,https://www.agenciaminas.mg.gov.br/noticia/etapa-microrregional-do-jemg-reune-mais-de-50-mil-jovens-talentos-do-esporte-mineiro
Fale Agora nos estádios: Governo de Minas qualifica times de futebol no combate à violência contra mulher,"Funcionários de estádio, e equipes feminina e de base do masculino passaram por capacitação em Belo Horizonte","Seja em campo, seja nas arquibancadas, o ambiente do futebol pode ser hostil às mulheres, sujeitas a diferentes formas de violência. Para dar um...","['Social', 'Esportes', 'Direitos Humanos']",2024-06-07 09:00:00-03:00,2024-06,2024,6,9,Manhã,3,863,17,4,https://www.agenciaminas.mg.gov.br/noticia/fale-agora-nos-estadios-governo-de-minas-qualifica-times-de-futebol-no-combate-a-violencia-contra-mulher
Jimi Futsal: volta da competição consagra o esporte no interior de Minas Gerais,"Etapa estadual, em Ponte Nova, reuniu 28 equipes. Municípios de Pedra Azul e Ouro Preto conquistaram o título","A volta dos Jogos do Interior de Minas (Jimi-Futsal) foi um sucesso e os vencedores da etapa estadual já comemoram. Pelo feminino, Pedra Azul e...","['Social', 'Esportes']",2024-06-03 18:35:00-03:00,2024-06,2024,6,18,Noite,2,488,13,4,https://www.agenciaminas.mg.gov.br/noticia/jimi-futsal-volta-da-competicao-consagra-o-esporte-no-interior-de-minas-gerais
Estudantes de escola estadual de Caratinga conquistam medalhas nos Jogos Sul-Americanos Escolares 2025,Bianca Medina da Silva e Yago Rosa de Souza se destacam no atletismo e reforçam o protagonismo de Minas Gerais em competição internacional,"Os estudantes Bianca Medina da Silva e Yago Rosa de Souza, da Escola Estadual Venceslau José da Silva, em Caratinga, conquistaram medalhas nos...","['Esportes', 'Educação']",2025-12-17 10:20:00-03:00,2025-12,2025,12,10,Manhã,2,582,13,4,https://www.agenciaminas.mg.gov.br/noticia/estudantes-de-escola-estadual-de-caratinga-conquistam-medalhas-nos-jogos-sul-americanos-escolares-2025
Cemig finaliza primeira edição das Olimpíadas que Transformam com ampla participação de jovens de todo estado,Competição teve fase final em Belo Horizonte e reuniu cerca de 600 mineiros,"A primeira edição das Olimpíadas que Transformam chegou ao fim e marcou a vida de 220 jovens de todas as regiões de Minas Gerais, que participaram...","['Infraestrutura', 'Esportes']",2024-06-03 10:20:00-03:00,2024-06,2024,6,10,Manhã,2,807,16,4,https://www.agenciaminas.mg.gov.br/noticia/cemig-finaliza-primeira-edicao-das-olimpiadas-que-transformam-com-ampla-participacao-de-jovens-de-todo-estado
"Olimpíadas que Transformam, da Cemig, reúnem mais de 200 jovens na fase final em BH",Primeira edição promove intercâmbio entre nove projetos patrocinados pela companhia em Minas Gerais,"Depois de uma intensa maratona de jogos em 14 cidades mineiras, as Olimpíadas que Transformam chegam à fase final, que será realizada no Sesc Venda...","['Social', 'Infraestrutura', 'Esportes']",2024-05-29 12:45:00-03:00,2024-05,2024,5,12,Tarde,3,407,15,4,https://www.agenciaminas.mg.gov.br/noticia/olimpiadas-que-transformam-da-cemig-reunem-mais-de-200-jovens-na-fase-final-em-bh
Governo de Minas retoma a tradição dos Jogos dos Povos Indígenas,"Sétima edição do evento esportivo recebe quase mil indígenas, marcando o retorno do evento pela primeira vez desde a pandemia","Os Jogos dos Povos Indígenas de Minas Gerais (JPIMG) desempenham um papel importante na preservação e promoção da cultura, identidade e tradições...","['Social', 'Esportes', 'Educação']",2024-05-21 15:05:00-03:00,2024-05,2024,5,15,Tarde,3,1012,11,4,https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-retoma-a-tradicao-dos-jogos-dos-povos-indigenas
Vinte e oito equipes municipais se classificam para a Etapa Estadual do Jimi Futsal,"Últimos jogos acontecem no período de 29/5 a 2/6, em Ponte Nova","Entre os dias 30/4 e 5/5, equipes de todas as regiões do estado se enfrentaram pela Etapa Microrregional dos Jogos do Interior de Minas Futsal...","['Social', 'Esportes']",2024-05-06 15:30:00-03:00,2024-05,2024,5,15,Tarde,2,474,14,4,https://www.agenciaminas.mg.gov.br/noticia/vinte-e-oito-equipes-municipais-se-classificam-para-a-etapa-estadual-do-jimi-futsal
Sete municípios sediam partidas nesta edição de retomada dos Jogos do Interior de Minas,Equipes disputam mais de 150 partidas pela Etapa Microrregional do Jimi Futsal entre 30/4 e 5/5,"A Etapa Microrregional dos Jogos do Interior de Minas (Jimi) Futsal teve início na terça-feira (30/4). Até o dia 5/5, equipes masculinas e...","['Social', 'Esportes']",2024-05-02 12:40:00-03:00,2024-05,2024,5,12,Tarde,2,451,14,4,https://www.agenciaminas.mg.gov.br/noticia/sete-municipios-sediam-partidas-nesta-edicao-de-retomada-dos-jogos-do-interior-de-minas
Minas promove capacitação de clubes de futebol para protocolo de enfrentamento à violência contra a mulher ,Fale Agora será apresentado em times femininos e masculinos; tatuagem provisória usada por atletas nas partidas fortalece e multiplica iniciativa,"Em continuidade à propagação e divulgação do Protocolo Fale Agora de enfrentamento à violência contra a mulher, a Secretaria de Estado de...","['Social', 'Esportes']",2024-04-27 12:20:00-03:00,2024-04,2024,4,12,Tarde,2,623,16,4,https://www.agenciaminas.mg.gov.br/noticia/minas-promove-capacitacao-de-clubes-de-futebol-para-protocolo-de-enfrentamento-a-violencia-contra-a-mulher
Programa ICMS Esportivo bate recorde de apoio a projetos e iniciativas,Municípios habilitados e pontuações referentes estão disponíveis,"O programa ICMS Esportivo, da Secretaria de Estado de Desenvolvimento Social (Sedese-MG), bateu novos recordes no ano-base 2023.  Ao...","['Social', 'Esportes']",2024-04-26 15:35:00-03:00,2024-04,2024,4,15,Tarde,2,510,11,4,https://www.agenciaminas.mg.gov.br/noticia/programa-icms-esportivo-bate-recorde-de-apoio-a-projetos-e-iniciativas
"Olimpíadas que Transformam, da Cemig, chegam à semana final de eliminatórias",Jovens do projeto “Lutando pela educação” disputam vagas na final de judô,"As Olimpíadas que Transformam, da Cemig, entram em fase decisiva. Depois de mais de um mês de competições em diversas regiões de Minas Gerais, o...","['Infraestrutura', 'Esportes']",2024-04-24 14:30:00-03:00,2024-04,2024,4,14,Tarde,2,357,11,4,https://www.agenciaminas.mg.gov.br/noticia/olimpiadas-que-transformam-da-cemig-chegam-a-semana-final-de-eliminatorias
Governador se encontra com as campeãs da Superliga Feminina de Vôlei ,"Chefe do Executivo parabenizou a equipe do Minas Tênis Clube que, pela quinta vez, levantou a principal taça da competição nacional no vôlei feminino","Reconhecendo a importância do esporte mineiro, o governador Romeu Zema se encontrou, na tarde desta terça-feira (23/4), com as jogadoras e a...","['Governo', 'Esportes', 'Governador']",2024-04-23 16:15:00-03:00,2024-04,2024,4,16,Tarde,3,276,11,4,https://www.agenciaminas.mg.gov.br/noticia/governador-se-encontra-com-as-campeas-da-superliga-feminina-de-volei
Governo promove concurso para eleger mascote dos Jogos Escolares de Minas Gerais  ,Estudantes de todas as escolas de ensino fundamental e médio têm a oportunidade de participar; prazo para envio dos desenhos vai até 13/5,O Governo de Minas está empenhado em fortalecer a cultura democrática dentro das escolas e em suas comunidades por meio de iniciativa inovadora:...,"['Social', 'Esportes', 'Educação']",2024-04-22 16:15:00-03:00,2024-04,2024,4,16,Tarde,3,536,12,4,https://www.agenciaminas.mg.gov.br/noticia/governo-promove-concurso-para-eleger-mascote-dos-jogos-escolares-de-minas-gerais-2024-04-22-16-15-00-0300
"Pela primeira vez, Prêmio do Esporte Mineiro será transmitido na íntegra pela TV",Votação popular já está aberta e os mineiros podem escolher os homenageados de 2025,"O Governo de Minas deu início a mais uma edição do Prêmio do Esporte Mineiro (PEM), que este ano traz uma novidade histórica. O prêmio organizado...","['Social', 'Esportes']",2025-12-03 17:30:00-03:00,2025-12,2025,12,17,Tarde,2,708,13,4,https://www.agenciaminas.mg.gov.br/noticia/pela-primeira-vez-premio-do-esporte-mineiro-sera-transmitido-na-integra-pela-tv
"Governador entrega prêmio e destaca importância de eventos vitrine como a Copa do Mundo de Mountain Bike, em Araxá","Chefe do Executivo acompanhou reta final da disputa internacional, que levou milhares de turistas e fãs do ciclismo para a cidade mineira","Encerrando um dia de comemoração e homenagens à Inconfidência Mineira, o governador Romeu Zema participou da reta final e do pódio da Copa do Mundo...","['Turismo', 'Governo', 'Esportes', 'Cultura', 'Governador']",2024-04-21 19:50:00-03:00,2024-04,2024,4,19,Noite,5,736,19,4,https://www.agenciaminas.mg.gov.br/noticia/governador-entrega-premio-e-destaca-importancia-de-eventos-vitrine-como-a-copa-do-mundo-de-mountain-bike-em-araxa
Copa do Mundo de Mountain Bike movimenta a economia da cidade de Araxá,Campeonato trazido pelo Governo de Minas lota hotéis e aumenta renda da população local,"Buscando sempre o desenvolvimento das cidades e das regiões do estado, o Governo de Minas trouxe para Araxá, no Alto Paranaíba, a Copa do Mundo de...","['Turismo', 'Esportes', 'Desenvolvimento Econômico']",2024-04-20 18:10:00-03:00,2024-04,2024,4,18,Noite,3,683,13,4,https://www.agenciaminas.mg.gov.br/noticia/copa-do-mundo-de-mountain-bike-movimenta-a-economia-da-cidade-de-araxa
Empenho do Governo contribui para o sucesso no primeiro dia da Copa do Mundo de Mountain Bike em Araxá,Competição mundial gera emprego e renda e atrai turistas para o município,"Em mais uma ação do Governo de Minas, de fortalecer e divulgar o turismo do estado para o mundo, Araxá, no Alto Paranaíba, recebeu nesta...","['Turismo', 'Social', 'Esportes', 'Cultura']",2024-04-19 19:10:00-03:00,2024-04,2024,4,19,Noite,4,712,19,4,https://www.agenciaminas.mg.gov.br/noticia/empenho-do-governo-contribui-para-o-sucesso-no-primeiro-dia-da-copa-do-mundo-de-mountain-bike-em-araxa
Araxá recebe segunda etapa da Copa do Mundo de mountain bike neste fim de semana,Evento realizado pelo Governo de Minas vai contribuir para projetar Araxá e o cicloturismo mineiro internacionalmente,"Em mais uma ação do Governo de Minas para projetar Minas para o mundo, a cidade de Araxá, no Alto Paranaíba, sedia, de sexta a domingo (19 a 21/4),...","['Turismo', 'Social', 'Governo', 'Esportes', 'Cultura']",2024-04-19 14:00:00-03:00,2024-04,2024,4,14,Tarde,5,1188,15,4,https://www.agenciaminas.mg.gov.br/noticia/araxa-recebe-segunda-etapa-da-copa-do-mundo-de-mountain-bike-neste-fim-de-semana
Destaque do Jemg é selecionada para principal liga de basquete feminino do mundo,"Kamilla Cardoso, de Montes Claros, foi campeã na liga universitária dos EUA e, agora, vai jogar profissionalmente pelo Chicago Sky","Em 2016, durante os Jogos Escolares de Minas Gerais (Jemg) promovidos pelo Governo de Minas, uma estudante-atleta se destacou nas partidas de...",['Esportes'],2024-04-17 11:30:00-03:00,2024-04,2024,4,11,Manhã,1,480,13,4,https://www.agenciaminas.mg.gov.br/noticia/destaque-do-jemg-e-selecionada-para-principal-liga-de-basquete-feminino-do-mundo
"Olimpíadas que Transformam, da Cemig: seletivas de futsal feminino e judô em BH",Competição mobilizará mais de 200 jovens na capital mineira nesta segunda-feira,"Duas seletivas das Olimpíadas que Transformam movimentam Belo Horizonte nos próximos dias. Nesta segunda-feira (15/4), a partir das 14 horas, 120...","['Social', 'Infraestrutura', 'Esportes']",2024-04-15 10:00:00-03:00,2024-04,2024,4,10,Manhã,3,460,13,4,https://www.agenciaminas.mg.gov.br/noticia/olimpiadas-que-transformam-da-cemig-seletivas-de-futsal-feminino-e-judo-em-bh
"Olimpíadas que Transformam, da Cemig, terão etapas classificatórias na Zona da Mata","Eliminatórias ocorrem em Juiz de Fora, Viçosa e Barbacena","Após realizar classificatórias em várias regiões de Minas Gerais, as Olimpíadas que Transformam, da Cemig, chegam à Zona da Mata. A competição, que...","['Infraestrutura', 'Esportes']",2024-04-10 14:50:00-03:00,2024-04,2024,4,14,Tarde,2,441,12,4,https://www.agenciaminas.mg.gov.br/noticia/olimpiadas-que-transformam-da-cemig-terao-etapas-classificatorias-na-zona-da-mata
"Vida ativa, vida saudável: Minas Gerais conta com 397 polos da Academia da Saúde para a prática de exercícios","Para marcar o Dia Mundial da Atividade Física (6/4) e o Dia Mundial da Saúde (7/4), SES-MG reforça importância da adoção de hábitos para melhorar a qualidade de vida","“Tinha problema no joelho e na coluna, obesidade, aí eu comecei a fazer  ginástica e, com alguns dias, já tinha perdido alguns quilos. Eu achava...","['Saúde', 'Esportes']",2024-04-05 18:55:00-03:00,2024-04,2024,4,18,Noite,2,1205,19,4,https://www.agenciaminas.mg.gov.br/noticia/vida-ativa-vida-saudavel-minas-gerais-conta-com-397-polos-da-academia-da-saude-para-a-pratica-de-exercicios
"Olimpíadas que Transformam, da Cemig, tem nova seletiva de taekwondo em BH",Cerca de 79 jovens vão em busca de uma das oito vagas para as finais do torneio,"As Olimpíadas que Transformam, torneio idealizado pela Cemig e executado pelo Instituto de Formação Esportiva e Social (INFES), terá mais uma...","['Infraestrutura', 'Esportes']",2024-04-05 17:35:00-03:00,2024-04,2024,4,17,Tarde,2,423,12,4,https://www.agenciaminas.mg.gov.br/noticia/olimpiadas-que-transformam-da-cemig-tem-nova-seletiva-de-taekwondo-em-bh
"Mineirão apresenta atualizações de calendário em reunião do Comitê de Esporte, Cultura e Lazer","Concessionária divulgou as datas de jogos e eventos previstos para a temporada, além de nova campanha institucional","A Secretaria de Estado de Infraestrutura, Mobilidade e Parcerias (Seinfra) e a Minas Arena promoveram, nesta sexta-feira (5/4), reunião do Comitê...","['Infraestrutura', 'Esportes']",2024-04-05 17:00:00-03:00,2024-04,2024,4,17,Tarde,2,190,14,4,https://www.agenciaminas.mg.gov.br/noticia/mineirao-apresenta-atualizacoes-de-calendario-em-reuniao-do-comite-de-esporte-cultura-e-lazer
Estudantes da rede estadual conquistam o 1º lugar no Campeonato Mundial de Jiu-Jitsu ,"Irmãos Sandra Thauany e Bernardo Castro, da Escola Estadual Carlos Albuquerque, em Montes Claros, se destacam em competição que reuniu atletas nacionais e internacionais","O desempenho dos estudantes da rede estadual mineira continua sendo motivo de orgulho para Minas Gerais. Desta vez, o destaque vem de Montes...","['Esportes', 'Educação']",2025-11-14 12:55:00-03:00,2025-11,2025,11,12,Tarde,2,502,13,4,https://www.agenciaminas.mg.gov.br/noticia/estudantes-da-rede-estadual-conquistam-o-1-lugar-no-campeonato-mundial-de-jiu-jitsu
"Olimpíadas que Transformam, da Cemig, terão duas classificatórias em São José da Lapa",Cerca de cem jovens vão disputar as eliminatórias das modalidades de futsal e handball,"As Olimpíadas que Transformam, torneio idealizado pela Cemig e executado pelo Instituto de Formação Esportiva e Social (INFES), terá a quarta...","['Infraestrutura', 'Esportes']",2024-04-01 14:00:00-03:00,2024-04,2024,4,14,Tarde,2,422,13,4,https://www.agenciaminas.mg.gov.br/noticia/olimpiadas-que-transformam-da-cemig-terao-duas-classificatorias-em-sao-jose-da-lapa
Jogos Escolares de Minas Gerais começam nesta segunda-feira com recorde de inscrições,Evento reunirá mais de 40 mil estudantes e 98% dos municípios do estado em 2024,"Nesta segunda-feira (1/4), o Governo de Minas dá início ao maior evento esportivo-escolar do Brasil. Os Jogos Escolares de Minas Gerais (Jemg) vão...","['Esportes', 'Educação']",2024-04-01 08:00:00-03:00,2024-04,2024,4,8,Manhã,2,584,12,4,https://www.agenciaminas.mg.gov.br/noticia/jogos-escolares-de-minas-gerais-comecam-nesta-segunda-feira-com-recorde-de-inscricoes
"Definidos os primeiros classificados da RMBH para a fase final das Olimpíadas que Transformam, da Cemig","Competição reuniu cerca de 180 jovens em duas etapas, realizadas em Belo Horizonte e em Sabará","Ao todo, as Olimpíadas que Transformam vão reunir nove projetos patrocinados pela Cemig em Minas Gerais, com representantes são de Viçosa, Juiz de...","['Infraestrutura', 'Esportes']",2024-03-25 17:40:00-03:00,2024-03,2024,3,17,Tarde,2,424,16,4,https://www.agenciaminas.mg.gov.br/noticia/definidos-os-primeiros-classificados-da-rmbh-para-a-fase-final-das-olimpiadas-que-transformam-da-cemig
Minas bate recorde de municípios habilitados no ICMS Esportivo pelo terceiro ano consecutivo,"Iniciativa do Governo do Estado alcança 580 das 853 cidades mineiras, 24 a mais do que em 2022","Pelo terceiro ano consecutivo, Minas Gerais bateu o recorde de municípios aptos a participarem do programa do Governo do Estado do ICMS Esportivo,...","['Esportes', 'Social']",2024-03-18 17:35:00-03:00,2024-03,2024,3,17,Tarde,2,589,13,4,https://www.agenciaminas.mg.gov.br/noticia/minas-bate-recorde-de-municipios-habilitados-no-icms-esportivo-pelo-terceiro-ano-consecutivo
Olimpíadas que Transformam: confira os classificados de Governador Valadares para fase final,Competição reuniu cerca de 200 crianças da região do Vale do Rio Doce,"As Olimpíadas que Transformam, idealizadas pela Cemig e executadas pelo Instituto de Formação Esportiva e Social (Infes), definiu nesta semana os...","['Esportes', 'Infraestrutura']",2024-03-15 16:05:00-03:00,2024-03,2024,3,16,Tarde,2,566,12,4,https://www.agenciaminas.mg.gov.br/noticia/olimpiadas-que-transformam-confira-os-classificados-de-governador-valadares-para-fase-final
Copa Internacional de Mountain Bike é transmitida pela Rede Minas nesta sexta-feira (15/3),"Emissora pública mineira mostra a disputa do Short Track (XCC), que vai reunir grandes nomes do ciclismo brasileiro em Nova Lima","Renato Mancini Os melhores sobre duas rodas estarão pedalando em Nova Lima, na Região Metropolitana de Belo Horizonte...","['Esportes', 'Cultura']",2024-03-14 11:50:00-03:00,2024-03,2024,3,11,Manhã,2,765,13,4,https://www.agenciaminas.mg.gov.br/noticia/copa-internacional-de-mountain-bike-e-transmitida-pela-rede-minas-nesta-sexta-feira-15-3
Olimpíadas que Transformam: competição terá início na segunda-feira (11/3) em Governador Valadares,Competição vai reunir mais de 200 jovens da região do Vale do Rio Doce,"As Olimpíadas que Transformam, torneio idealizado pela Cemig e executado pelo Instituto de Formação Esportiva e Social (Infes) que reunirá mais de...","['Infraestrutura', 'Esportes']",2024-03-08 12:25:00-03:00,2024-03,2024,3,12,Tarde,2,450,12,4,https://www.agenciaminas.mg.gov.br/noticia/olimpiadas-que-transformam-competicao-tera-inicio-na-segunda-feira-11-3-em-governador-valadares
Atletas profissionais testam as primeiras mesas de tênis produzidas no Complexo Penitenciário Nelson Hungria,Duas unidades de uma série de mil foram entregues e testadas por atletas profissionais da Federação Mineira de Tênis de Mesa,"Dez atletas filiados da Federação Mineira de Tênis de Mesa Olímpico e Paralímpico (FMTM) testaram, nesta quinta-feira (7/3), as duas primeiras...","['Trabalho', 'Esportes', 'Segurança']",2024-03-07 16:35:00-03:00,2024-03,2024,3,16,Tarde,3,528,14,4,https://www.agenciaminas.mg.gov.br/noticia/atletas-profissionais-testam-as-primeiras-mesas-de-tenis-produzidas-no-complexo-penitenciario-nelson-hungria
Cemig vai reunir mais de 500 jovens de Minas Gerais nas Olimpíadas que Transformam,Competição contará com cinco modalidades esportivas e será realizada em 14 cidades mineiras,"Grande incentivadora do esporte em Minas Gerais, a Cemig promoverá, a partir de 11/3, uma competição que vai mobilizar mais de 500 crianças e...","['Infraestrutura', 'Esportes']",2024-03-07 15:35:00-03:00,2024-03,2024,3,15,Tarde,2,486,14,4,https://www.agenciaminas.mg.gov.br/noticia/cemig-vai-reunir-mais-de-500-jovens-de-minas-gerais-nas-olimpiadas-que-transformam
Jogos do Interior de Minas retornam com edição especial para o futsal,Competição será disputada entre março e junho. Conheça as primeiras cidades-sede e como atletas e municípios podem se inscrever,"O Governo de Minas divulgou, nesta sexta-feira (2/2), as primeiras cidades que receberão os Jogos do Interior de Minas Gerais (Jimi): Araguari,...","['Social', 'Governo', 'Esportes']",2024-02-02 12:10:00-03:00,2024-02,2024,2,12,Tarde,3,460,12,4,https://www.agenciaminas.mg.gov.br/noticia/jogos-do-interior-de-minas-retornam-com-edicao-especial-para-o-futsal
"Atleta que passou pelo Fica Vivo!, do Governo de Minas, chega ao futsal feminino do Cruzeiro","Para Fernanda Silva, programa foi fundamental para sua trajetória até as quadras profissionais após quase desistir da carreira no esporte","Nos sonhos de infância, tornar-se atleta profissional é um desejo comum, mas as barreiras da vida muitas vezes apagam essa chama. Fernanda Silva,...","['Segurança', 'Social', 'Esportes']",2025-11-05 09:00:00-03:00,2025-11,2025,11,9,Manhã,3,760,16,4,https://www.agenciaminas.mg.gov.br/noticia/atleta-que-passou-pelo-fica-vivo-do-governo-de-minas-chega-ao-futsal-feminino-do-cruzeiro
"Mineirão apresenta calendário 2024 em reunião do Comitê de Esporte, Cultura e Lazer","Concessionária apresentou a prévia do calendário de jogos e eventos da temporada, com a preservação de datas das semifinais e finais do Campeonato Mineiro","A Secretaria de Estado de Infraestrutura, Mobilidade e Parcerias (Seinfra) promoveu, nessa quinta-feira (1/2), reunião do Comitê de Esporte,...","['Esportes', 'Infraestrutura']",2024-02-02 10:20:00-03:00,2024-02,2024,2,10,Manhã,2,259,13,4,https://www.agenciaminas.mg.gov.br/noticia/mineirao-apresenta-calendario-2024-em-reuniao-do-comite-de-esporte-cultura-e-lazer
Codemge promove esporte e desenvolvimento com patrocínio inédito à Copa Itatiaia e ao Troféu Guará,"Considerado o maior torneio de futebol amador do Brasil, evento terá Finalíssima Codemge neste domingo, às 16h, na Arena Independência","Promotora do desenvolvimento social e econômico, a Companhia de Desenvolvimento de Minas Gerais (Codemge) valoriza o esporte ao patrocinar, pela...",['Esportes'],2024-01-19 16:20:00-03:00,2024-01,2024,1,16,Tarde,1,813,15,4,https://www.agenciaminas.mg.gov.br/noticia/codemge-promove-esporte-e-desenvolvimento-com-patrocinio-inedito-a-copa-itatiaia-e-ao-trofeu-guara
